Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2010.0,NISSAN,ALTIMA,PURPLE,13409b,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,2017.0,MAZD,3,GRAY,21204b,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2006.0,FORD,CROWN VIC,WHITE,16303h,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER TR 17106,No,No,No,No,No,MD,02 - Automobile,2005.0,BMW,325 XI,BLACK,16303h,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2007.0,AUDI,CONV,WHITE,224123b,No,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,Citation
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,No,No,No,No,No,MD,02 - Automobile,2002.0,FORD,TAURUS SES,WHITE,211003aa,No,HISPANIC,M,TAKOMA PARK,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,1999.0,MERZ,TK,BLACK,218011,No,BLACK,M,SAVAGE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2011.0,INFINITI,4DR,BLACK,218011,No,WHITE,M,DARNESTOWN,MD,MD,Q - Marked Laser,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,1996.0,TOYOTA,TACOMA,BLACK,2111242d2,No,HISPANIC,M,CAPITO HEIGHTS,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2005.0,BUICK,4S,TAN,13409b,No,WHITE,M,WEST FRIENDSHIP,MD,MD,F - Unmarked Stationary Radar,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,05 - Light Duty Truck,2005.0,NISSAN,ARMADA,WHITE,219011b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,No,Yes,No,No,No,DC,02 - Automobile,2003.0,HONDA,ACCORD,SILVER,21301a,Yes,WHITE,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2007.0,FORD,PU,WHITE,218011,No,WHITE,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2008.0,CHEV,4S,WHITE,218011,No,BLACK,F,MONTGOMERY VILLAGE,MD,MD,Q - Marked Laser,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2000.0,HOND,4S,WHITE,2111242d2,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,VA,02 - Automobile,1995.0,TOYT,AVALON,GREEN LGT,16101a,No,WHITE,M,ALEXANDRIA,VA,VA,A - Marked Patrol,Citation
DRIVING WHILE LIC SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 27103,No,No,No,No,No,MD,02 - Automobile,2008.0,JEEP,TK,SILVER,16303h,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER WRITINGSENDINGREADING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,No,No,No,No,No,NJ,02 - Automobile,2001.0,TOYOTA,4S,TAN,2111241b,No,WHITE,F,GALLOWAY,NJ,NJ,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2013.0,FORD,TRANSIT,WHITE,218011,No,BLACK,M,POTOMAC,MD,MD,E - Marked Stationary Radar,Citation
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,No,No,No,No,No,MD,02 - Automobile,1995.0,BUICK,4S,GREEN,224122d,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,28 - Other,2005.0,CHEVROLET,VENTURE VAN,,224123b,No,BLACK,M,SPRINGDALE,MD,MD,A - Marked Patrol,Citation
KNOWINGLY DRIVING UNINSURED VEHICLE,No,No,No,No,No,MD,02 - Automobile,2006.0,DODGE,DURANGO,SILVER,17107,No,BLACK,M,NEW CARROLTON,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,CRV,GOLD,21201a1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
MOTOR VEH EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM,No,No,No,No,No,MD,02 - Automobile,1995.0,NISSAN,240SX,WHITE,22609b,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
DRIVER CHANGING LANES WHEN UNSAFE,No,No,Yes,No,No,MD,02 - Automobile,2003.0,VOLVO,4S,GREEN LGT,21309b,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Yes,No,No,No,No,MD,02 - Automobile,2013.0,TESL,4S,BLACK,16112c,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
OWNER FAILURE TO RETURN TO ADM SUSPENDED REG CARD,Yes,No,No,No,No,MD,02 - Automobile,2010.0,HOND,ACCORD,BLUE DARK,13708a,No,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2010.0,MAZDA,6,WHITE,224123b,No,WHITE,F,ELKRIDGE,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,YARIS,BLACK,21309d,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYT,CAMRY,SILVER,16303c,No,BLACK,M,POTOMAC,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,1996.0,BUIC,4S,GRAY,16303d,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Yes,No,No,No,No,MD,02 - Automobile,2006.0,NISS,4S,GRAY,13401h,No,WHITE,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,05 - Light Duty Truck,1993.0,FORD,TK,RED,2111242d2,No,WHITE,M,SAVAGE,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2010.0,FORD,FUSION,SILVER,13409b,No,BLACK,M,COLUMBIA,MD,MD,Q - Marked Laser,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEV,VN,GRAY,16303h,No,ASIAN,F,KENSINGTON,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,2000.0,HONDA,ACCORD,RED,21801b,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGE,No,No,Yes,No,No,MD,02 - Automobile,2010.0,TOYT,CAMRY,GREEN LGT,20103b,Yes,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,Yes,No,MD,02 - Automobile,2015.0,JEEP,CHEROKEE,RED,21902a1,No,WHITE,F,SILVERSPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEH ON HWY ON SUSPENDED LIC AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2009.0,MERZ,E350,BLACK,16303c,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALKNOT CONTRIBUTING TO ACCIDENT,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,CELICA,BLACK,21502a2,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,COROLLA,WHITE,13411f,No,WHITE,F,CLARKSBURG,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,SIENNA,MAROON,16112c,No,HISPANIC,F,GERMANTOWN,MD,MD,B - Unmarked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,2007.0,NISSAN,MAXIMA,BLUE DARK,219011b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,MD,02 - Automobile,2002.0,CHEVROLET,TRAILBLAZER,WHITE,21902a2,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER CHANGING LANES WHEN UNSAFE,No,No,No,No,No,MD,02 - Automobile,2006.0,HUMMER,H3,BLACK,21309b,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,1997.0,MERCURY,GRAND MARQUIS,TAN,13401h,No,BLACK,F,BURTONSVILLE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,OK,02 - Automobile,2005.0,DODGE,MAGNUM,SILVER,16303c,No,BLACK,M,GREENBELT,MD,MD,A - Marked Patrol,Citation
POSSESSING REVOKED LIC,No,No,No,No,No,MD,02 - Automobile,2002.0,MERZ,S430,BLACK,16301i,No,BLACK,F,UPPER MARLBORO,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 46 MPH IN A POSTED 30 MPH ZONE,No,No,No,Yes,No,MD,05 - Light Duty Truck,2011.0,DODG,DS,,218011,No,WHITE,M,SYKESVILLE,MD,MD,Q - Marked Laser,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2003.0,MERZ,C240,BLACK,16303d,No,BLACK,M,FREDERICK,MD,MD,S - License Plate Recognition,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2002.0,FORD,EXPLORER,BLACK,13401h,No,BLACK,F,JACKSONVILLE,FL,FL,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Yes,No,No,No,No,MD,02 - Automobile,2000.0,HOND,4S,GOLD,13401h,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,03 - Station Wagon,2012.0,SCION,ECHO,BLACK,224123b,No,HISPANIC,M,POOLESVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2005.0,NISSAN,4D,SILVER,21902b1,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,28 - Other,2014.0,ACURA,TK,GRAY,218011,No,WHITE,M,MONROVIA,MD,MD,Q - Marked Laser,Citation
EXCEEDING MAXIMUM SPEED 55 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2002.0,HOND,2S,RED,218011,No,HISPANIC,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2016.0,CHEV,TK,GRAY,218011,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,Q - Marked Laser,Citation
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,No,Yes,No,No,VA,02 - Automobile,2010.0,DODGE,CHARGER,WHITE,219011a,No,OTHER,M,OLNEY,MD,MD,A - Marked Patrol,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2010.0,MERZ,CL550,WHITE,16116a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2001.0,NISSAN,VAN,RED,21201a1,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,Yes,No,MD,02 - Automobile,2012.0,CADI,4DR,RED,21902a1,No,BLACK,M,LAUREL,MD,MD,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2002.0,DODG,4S,GRAY,13411f,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,COROLLA,BLACK,13401h,No,BLACK,F,BOWIE,MD,MD,A - Marked Patrol,Citation
DISPLAY CAUSE PERMIT TO BE DISPLAYED SUSPENDED LIC,No,No,No,No,No,MD,05 - Light Duty Truck,2008.0,MERZ,TK,GRAY,16301e,No,BLACK,F,GERMANTOWN,MD,MD,Q - Marked Laser,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,1999.0,HONDA,ACCORD,BLACK,16101a1,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 74 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2017.0,CHRY,VN,GRAY,218011,No,WHITE,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,No,No,No,No,No,PA,05 - Light Duty Truck,2002.0,FORD,E250,WHITE,21202m,No,BLACK,M,GERMANTOWN,MD,MD,L - Motorcycle,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2005.0,MERCURY,4D,SILVER,13401h,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2010.0,HYUN,ELANTRA,SILVER,218011,No,BLACK,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,MD,05 - Light Duty Truck,2000.0,FORD,TK,WHITE,21402a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2016.0,MERZ,ML 350 4 MATIC,BLACK,16112c,No,HISPANIC,F,POTOMAC,MD,MD,A - Marked Patrol,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,MD,02 - Automobile,2004.0,PONTIAC,VIBE,RED,21402a,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYOTA,SCION,WHITE,218011,No,WHITE,F,BURTONSVILLE,MD,MD,Q - Marked Laser,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,DC,02 - Automobile,1995.0,CHRYSLER,CONCORDE,GREEN DK,219011b,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,2000.0,TOYOTA,COROLLA,SILVER,21204b,No,HISPANIC,F,NEW CARROLLTON,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Yes,No,No,No,No,MD,02 - Automobile,1998.0,CHEV,CAVALIER,GREEN,16112c,No,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2006.0,MERCEDES,E350,WHITE,13409b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,ACCORD,TAN,224123b,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,E150,WHITE,16303h,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2002.0,PONT,VN,WHITE,16101a,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2016.0,LNDR,TK,BLACK,218011,No,WHITE,M,NORTH POTOMAC,MD,MD,Q - Marked Laser,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2007.0,TOYT,TK,BLACK,218011,No,HISPANIC,M,BOWIE,MD,MD,Q - Marked Laser,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2001.0,VOLV,2S BUG,BLUE,16112c,No,OTHER,M,FREDERICKM,MD,MD,A - Marked Patrol,Citation
FAILURE OF VEH DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,No,Yes,No,No,No,MD,02 - Automobile,2007.0,BMW,328I,GRAY,201051,Yes,BLACK,M,ADELPHI,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 90 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,VA,02 - Automobile,2004.0,INFINITI,G35,SILVER,218011,No,BLACK,M,ASHBURN,VA,VA,B - Unmarked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,DC,02 - Automobile,1995.0,SUBARU,IMPREZA,MAROON,224123b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,CT,02 - Automobile,2015.0,HONDA,CIVIC,BLACK,16101a,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2001.0,NISS,4S,GRAY,218011,No,BLACK,F,OLNEY,MD,MD,Q - Marked Laser,Citation
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,SC,02 - Automobile,2000.0,HONDA,CIVIC,BLUE,21204b,No,HISPANIC,M,LADSON,SC,XX,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2001.0,PONT,4S,GOLD,13411f,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2017.0,HONDA,ACCORD,WHITE,218011,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,XX,02 - Automobile,2004.0,NISSAN,MAXIMA,BLUE,16112c,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYOTA,SEQUOIA,MAROON,21201a1,No,HISPANIC,M,GLENN DALE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,DC,02 - Automobile,1991.0,TOYOTA,PU TRUCK,RED,218011,No,HISPANIC,M,WASHINGTON,DC,DC,H - Unmarked Moving Radar (Stationary),Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2001.0,SUBARU,OUTBACK,MAROON,224123b,No,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,Yes,No,No,No,No,MD,02 - Automobile,2009.0,FORD,TRUCK,RED,21402a,Yes,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO MAINTAIN VISIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS AND COVERS,No,No,No,No,No,MD,05 - Light Duty Truck,2004.0,CHEVROLET,EXPRESS BOX,WHITE,13411c1,No,HISPANIC,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,DC,02 - Automobile,2003.0,LINCOLN,NAVIGATOR,SILVER,21902b1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,No,No,No,No,No,VA,02 - Automobile,2003.0,HONDA,ACCORD,BLUE LIGHT,211104c,No,HISPANIC,M,HAGERSTOWN,MD,MD,A - Marked Patrol,Citation
DRIVING VEH ON HWY WITH UNPAID REGISTRATION FEE,No,No,No,No,No,MD,02 - Automobile,1998.0,DODGE,4S STRATUS,GREEN,13401d,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,2014.0,NISSAN,ALTIMA 4D,BLACK,219011b,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,No,No,No,No,No,XX,29 - Unknown,,,,,21503c,No,OTHER,M,BETHESDA,MD,MD,A - Marked Patrol,Citation
FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CRV,BLUE LIGHT,21707a,No,WHITE,F,POTOMAC,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2004.0,VW,GOLF,SILVER,21902b1,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,CRV,SILVER,21902b1,No,WHITE,F,CHEVY CHASE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2012.0,FORD,TRANSIT,WHITE,16303c,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
